Time,T_el,T_ph
0.0,300.0,300.0
0.0001,300.000000512775,299.99999999999994
0.0002,300.0000023998988,299.99999999999727
0.00030000000000000003,300.00000611081106,299.99999999999073
0.0004,300.00001034940567,299.9999999999837
0.0005,300.0000129155075,299.9999999999818
0.0006000000000000001,300.0000122835751,299.9999999999891
0.0007000000000000001,300.0000089098504,300.0000000000043
0.0008,300.00000525917864,300.0000000000212
0.0009,300.0000035732091,300.000000000034
0.001,300.00000300206096,300.0000000000446
0.0011,300.00000293015364,300.00000000005485
0.0012000000000000001,300.00000339173295,300.00000000006463
0.0013,300.0000037764563,300.00000000007543
0.0014000000000000002,300.00000409910274,300.00000000008725
0.0015,300.0000043645603,300.00000000010004
0.0016,300.0000046363903,300.00000000011374
0.0017000000000000001,300.00000491594875,300.00000000012824
0.0018,300.0000052095674,300.0000000001436
0.0019000000000000002,300.00000550359687,300.0000000001598
0.002,300.00000579921226,300.00000000017684
0.0021000000000000003,300.0000060851325,300.00000000019486
0.0022,300.00000637127175,300.00000000021373
0.0023000000000000004,300.0000066544247,300.00000000023346
0.0024000000000000002,300.00000694587817,300.0000000002541
0.0025,300.00000724690204,300.0000000002756
0.0026,300.00000754960286,300.000000000298
0.0027,300.0000078559548,300.0000000003213
0.0028000000000000004,300.000008148971,300.0000000003455
0.0029000000000000002,300.0000084419479,300.0000000003706
0.003,300.00000873245517,300.00000000039665
0.0031,300.0000090322196,300.0000000004236
0.0032,300.0000093447695,300.00000000045145
0.0033000000000000004,300.00000965804117,300.0000000004802
0.0034000000000000002,300.0000099740186,300.0000000005099
0.0035,300.00001027826477,300.0000000005406
0.0036,300.000010583084,300.0000000005722
0.0037,300.0000108955757,300.0000000006047
0.0038000000000000004,300.0000112114435,300.00000000063824
0.0039000000000000003,300.0000115276706,300.0000000006727
0.004,300.00001184341284,300.0000000007081
0.0041,300.00001215999856,300.0000000007444
0.004200000000000001,300.0000124805791,300.0000000007817
0.0043,300.0000128004219,300.00000000082
0.0044,300.00001312731666,300.0000000008593
0.0045,300.0000134588247,300.0000000008996
0.004600000000000001,300.0000137930122,300.00000000094093
0.0047,300.00001412845035,300.0000000009833
0.0048000000000000004,300.0000144642151,300.0000000010266
0.004900000000000001,300.00001479988725,300.00000000107093
0.005,300.0000151355525,300.0000000011163
0.0051,300.00001547180125,300.0000000011626
0.0052,300.000015809729,300.0000000012099
0.005300000000000001,300.000016150936,300.00000000125834
0.0054,300.00001649752727,300.00000000130774
0.0055,300.00001684120474,300.0000000013581
0.005600000000000001,300.00001718659934,300.00000000140943
0.0057,300.0000175406629,300.00000000146207
0.0058000000000000005,300.00001790187537,300.00000000151584
0.005900000000000001,300.0000182688692,300.0000000015708
0.006,300.000018640429,300.00000000162686
0.0061,300.0000190154917,300.0000000016841
0.0062,300.00001939314683,300.0000000017425
0.006300000000000001,300.0000197726358,300.000000001802
0.0064,300.0000201533527,300.00000000186265
0.0065,300.00002053484366,300.0000000019244
0.006600000000000001,300.00002091680733,300.00000000198725
0.0067,300.0000212990945,300.0000000020512
0.0068000000000000005,300.00002168170846,300.00000000211634
0.006900000000000001,300.00002206480474,300.00000000218256
0.007,300.000022448691,300.0000000022499
0.0071,300.0000228338276,300.0000000023184
0.0072,300.0000232208268,300.00000000238805
0.007300000000000001,300.0000236104535,300.0000000024589
0.0074,300.0000240036247,300.0000000025309
0.0075,300.0000244014098,300.00000000260405
0.007600000000000001,300.00002480503053,300.0000000026784
0.0077,300.00002521586094,300.000000002754
0.0078000000000000005,300.0000256354273,300.00000000283086
0.0079,300.0000260441739,300.00000000290873
0.008,300.000026455937,300.00000000298786
0.0081,300.0000268791782,300.0000000030685
0.0082,300.00002731241153,300.0000000031507
0.0083,300.0000277542619,300.00000000323433
0.008400000000000001,300.0000282034653,300.00000000331937
0.0085,300.0000286588684,300.0000000034059
0.0086,300.000029119429,300.0000000034938
0.008700000000000001,300.0000295842155,300.0000000035832
0.0088,300.0000300524074,300.00000000367396
0.0089,300.00003052329515,300.0000000037661
0.009,300.00003099627986,300.00000000385955
0.0091,300.0000314708738,300.0000000039545
0.009200000000000002,300.0000319467,300.0000000040508
0.009300000000000001,300.0000324234924,300.0000000041485
0.0094,300.00003290109584,300.0000000042475
0.0095,300.000033379466,300.000000004348
0.009600000000000001,300.00003385866967,300.0000000044498
0.0097,300.0000343388842,300.00000000455304
0.009800000000000001,300.0000348203982,300.0000000046577
0.0099,300.00003530361084,300.00000000476376
0.01,300.00003578903255,300.00000000487125
0.010100000000000001,300.00003627728427,300.00000000498017
0.0102,300.00003676909813,300.00000000509056
0.0103,300.00003726531696,300.0000000052024
0.0104,300.00003776689476,300.0000000053158
0.0105,300.0000382748961,300.0000000054307
0.010600000000000002,300.0000387904966,300.0000000055471
0.010700000000000001,300.0000393149828,300.0000000056651
0.0108,300.0000398497521,300.00000000578467
0.0109,300.0000403963129,300.00000000590586
0.011,300.0000409270185,300.00000000602813
0.011100000000000002,300.00004145199546,300.00000000615205
0.011200000000000002,300.00004199327304,300.0000000062779
0.011300000000000001,300.00004254925085,300.00000000640586
0.0114,300.00004311841985,300.00000000653586
0.0115,300.000043699362,300.00000000666773
0.011600000000000001,300.0000442907506,300.0000000068016
0.0117,300.0000448913502,300.0000000069374
0.011800000000000001,300.00004550001665,300.00000000707513
0.0119,300.0000461156969,300.00000000721474
0.012,300.00004673742905,300.0000000073563
0.012100000000000001,300.0000473643427,300.0000000074997
0.0122,300.0000479956584,300.000000007645
0.0123,300.0000486306881,300.00000000779215
0.0124,300.0000492688349,300.00000000794114
0.0125,300.0000499095932,300.000000008092
0.012600000000000002,300.0000505525486,300.0000000082448
0.012700000000000001,300.0000511973778,300.0000000083993
0.0128,300.00005184384884,300.00000000855573
0.0129,300.00005249182107,300.000000008714
0.013,300.00005314124496,300.00000000887417
0.013100000000000002,300.0000537921622,300.00000000903617
0.013200000000000002,300.0000544447057,300.0000000092001
0.013300000000000001,300.00005509909965,300.0000000093659
0.0134,300.0000557556595,300.0000000095336
0.0135,300.0000564147918,300.00000000970323
0.013600000000000001,300.00005707699444,300.0000000098748
0.0137,300.0000577428565,300.0000000100483
0.013800000000000002,300.00005841305824,300.0000000102238
0.013900000000000001,300.00005908837124,300.00000001040127
0.014,300.00005976965826,300.0000000105808
0.014100000000000001,300.00006045787325,300.00000001076234
0.0142,300.0000611540614,300.00000001094594
0.0143,300.0000618593593,300.00000001113165
0.0144,300.00006257499444,300.0000000113195
0.0145,300.0000633022858,300.00000001150954
